"loan_id","account_id","date_loan","amount","duration","payments","status","n_credit","n_withdrawal","max_credit","avg_credit","min_credit","sd_credit","skew_credit","kurtosi_credit","median_credit","mad_credit","var_credit","iqr_credit","max_withdrawal","avg_withdrawal","min_withdrawal","sd_withdrawal","skew_withdrawal","kurtosi_withdrawal","median_withdrawal","mad_withdrawal","var_withdrawal","iqr_withdrawal","avg_amount","sd_amount","skew_amount","kurtosi_amount","median_amount","mad_amount","var_amount","iqr_amount","avg_balance","max_balance","min_balance","sd_balance","skew_balance","kurtosi_balance","median_balance","mad_balance","var_balance","iqr_balance","disp_id","client_id","account_type","birth_number","age_range","gender","birthday","age","district_id","frequency","date_account","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","crimes95","crimes96","avg_monthly_balance","datediff","card_id","card_type","issued","time_bf_loan","frequency_num","region_num","gender_num","card_num"
5314,1787,930705,96396,12,8033,-1,4,0,9900,5025,1100,3774.8068383252,0.235754326150354,-2.00098712063896,4550,3484.11,14249166.6666667,4075,0,0,0,0,0,0,0,0,0,0,5025,3774.8068383252,0.235754326150354,-2.00098712063896,4550,3484.11,14249166.6666667,4075,12250,20100,1100,8330.8663014919,-0.350324353980763,-1.97834876111314,13900,6745.83,69403333.3333333,9100,2166,2166,"OWNER",475722,"70_80","F",470722,73,30,"weekly issuance",930322,"Sokolov","west Bohemia",94812,15,13,8,2,10,81.8,9650,"3.38",3.67,100,2985,2804,12250,459983,NA,NA,0,-383,"weekly issuance","west Bohemia","F","0"
5316,1801,930711,165960,36,4610,1,17,18,36574,13523.1588235294,2.9,13998.0922253739,0.444848308301829,-1.56488170395425,8368,12217.3653,195946585.950074,27791.6,54300,8884.24,14.6,14074.8006079697,2.04671336647163,3.33008093828299,3793,4206.1362,198100012.154105,5997.25,1411.05135135135,17882.9990590166,-0.412753675393404,1.58602592129634,-14.6,6156.34824,319801655.34479,9797,52083.8594594595,120512.8,700,29122.0594539456,0.38395917195983,-0.559250030444371,52208.9,30731.18454,848094346.839144,43312.7,2181,2181,"OWNER",680722,"50_60","M",680722,53,46,"monthly issuance",930213,"Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,"1.79",2.31,117,2854,2618,46732.2390740741,249989,NA,NA,0,-498,"monthly issuance","east Bohemia","M","0"
6863,9188,930728,127080,60,2118,1,15,9,19065,5009.73333333333,48.6,6801.23471622897,0.757547382640703,-1.19026754087578,139.8,135.21312,46256793.6652381,12613.65,14800,6097,66,5390.56597214059,0.288477074191817,-1.66677038706944,5300,7159.4754,29058201.5,8500,844.708333333333,8272.42158263208,0.330629225904013,-0.338866697384391,84.85,3165.12861,68432958.8407971,3400,30060.9541666667,49590.4,800,11520.1844510437,-0.432235266532008,-0.0177569549486942,30463.95,6699.94353,132714649.786069,9173.775,11006,11314,"OWNER",360602,"80_90","M",360602,85,45,"monthly issuance",930208,"Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,"2.28",2.89,132,2080,2122,25587.1755952381,570126,NA,NA,0,-520,"monthly issuance","east Bohemia","M","0"
5325,1843,930803,105804,36,2939,1,13,12,26448,9254.6,132.8,9818.59121827906,0.288126834942736,-1.74457251115186,3900,5585.25072,96404733.5116667,17453.9,15600,7168.1,14.6,4919.09643402858,0.0275978356925385,-1.28964866519765,6994,6301.05,24197509.7272727,7425,1371.704,11376.1246311255,0.623247134492962,-0.758250265141429,132.8,10566.19368,129416211.6229,10894,41297.48,65898.5,1000,14151.2604430371,-0.682723966298846,0.786852953076692,39450.5,11494.15302,200258172.126667,15621.9,2235,2235,"OWNER",405420,"70_80","F",400420,80,12,"monthly issuance",930130,"Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,"3.83",4.31,137,3804,3868,33742.3734693878,530383,NA,NA,0,-673,"monthly issuance","central Bohemia","F","0"
7240,11013,930906,274740,60,4579,1,13,14,63366,21255.9307692308,77.1,24264.229779533,0.301508750375147,-1.7842708473467,600,775.25154,588752846.793974,42035.7,36700,16801,30,13981.9249362553,0.139125514850913,-1.79958325155448,12199.5,18042.5007,195494224.923077,24350,1522.70740740741,27294.1780104212,0.624722381210462,-0.590408176922077,-30,14038.7394,744972153.264558,12626.9,57188.2111111111,122893.1,600,25256.6658167142,0.62850173280667,0.498646528603214,51865.1,15493.17,637899168.17718,21915.9,13231,13539,"OWNER",780907,"40_50","M",780907,43,1,"weekly issuance",930214,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,"0.29",0.43,167,85677,99107,51800.6414965986,149999,NA,NA,0,-692,"weekly issuance","Prague","M","0"
6687,8261,930913,87840,24,3660,1,14,3,32938,7331.98571428571,51.3,11713.8590818974,1.01125955862347,-0.756351813993816,263.4,312.23556,137214494.590549,16846.575,22000,19600,15200,3815.75680566778,-0.380147248481575,-2.33333333333333,21600,593.04,14560000,3400,2579.28235294118,15010.2148055181,0.262410607219226,-0.5901712014281,176.4,479.76936,225306548.507794,2045.7,46318.5529411765,65847.8,500,20670.9773821631,-0.677603405813611,-0.933826415589037,57602.6,12224.33352,427289305.933897,40148.7,9892,10200,"OWNER",805216,"30_40","F",800216,40,13,"monthly issuance",930512,"Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,"2.77",3.26,123,1597,1875,45947.94,130697,NA,NA,0,-401,"monthly issuance","central Bohemia","F","0"
7284,11265,930915,52788,12,4399,1,21,22,11427,4304.0380952381,43.9,3880.56020124365,0.169640097381611,-1.59454631408622,3700,5365.23288,15058747.4754762,7505.8,17920,3152.53636363636,14.6,3848.85077437105,2.45457111749179,6.98928071866705,2607,3114.9426,14813652.2833766,3944,489.046511627907,5366.66029057661,-0.409055083710441,1.55059509878598,-14.6,3843.49224,28801042.6744518,6107,22198.1790697674,41469.1,1000,6652.64295634085,-0.0240733635949127,2.22953392091767,21029,4010.433,44257658.3045515,6879.55,13537,13845,"OWNER",730216,"40_50","M",730216,48,15,"monthly issuance",930114,"Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,"3.13",3.6,124,1845,1879,21108.6166666667,200699,NA,NA,0,-801,"monthly issuance","south Bohemia","M","0"
6111,5428,930924,174744,24,7281,-1,16,14,47436,13374.85,77.8,16348.3572340465,0.835115563612975,-0.911905218731858,5634,8231.24694,267268784.252,24160.925,52600,9741.05,14.6,13510.3144667078,2.1389930804795,3.75830405619325,5100,5584.9542,182528596.989333,5055.25,1816.9,18855.7507109686,0.0841881616861982,1.59053233610467,31.6,7931.91,355539334.874194,10617,37485.45625,105628,1000,28302.6531429868,1.01104070044541,-0.04851640287028,26584.9,18007.06656,801040174.932218,35899.15,6551,6551,"OWNER",485812,"70_80","F",480812,72,24,"monthly issuance",930414,"Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,"1.39",2.01,128,5198,5273,39265.6888492064,450112,NA,NA,0,-510,"monthly issuance","west Bohemia","F","0"
7235,10973,931013,154416,48,3217,1,16,14,39098,11408.9875,13.6,13212.0352328158,0.651443168928284,-1.15001737187876,5951,8607.75321,174557874.993167,23929.675,19200,8071.3125,30,6991.37801122449,0.122418988122888,-1.77358180574272,6450,9518.292,48879366.4958333,12461.75,1668.8375,14354.290498365,0.828942280394738,0.0232339634443983,-8.2,8835.10992,206045655.711452,10150.5,46715.8,81723.5,8897,20286.9655584644,-0.108998917472626,-0.676459510251469,45202.6,15910.5219,411560971.570323,20033.875,13182,13490,"OWNER",695525,"50_60","F",690525,51,18,"weekly issuance",930420,"Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,"2.83",3.35,131,1740,1910,45394.0625510204,240488,NA,NA,0,-593,"weekly issuance","south Bohemia","F","0"
5997,4894,931104,117024,24,4876,1,9,4,29255,13154.8333333333,45.1,15275.4333958975,0.186910037837374,-2.16997216246049,800,1119.21474,233338865.4325,29073.4,24000,16300,2100,9971.62641364654,-0.549592411223117,-1.84801608882337,19550,5411.49,99433333.3333333,9750,4091.80769230769,19509.7413942139,0.139460147104434,-1.4557715933639,181.6,25028.66016,380630009.269103,31355,44131.1692307692,76985.2,800,19844.2475911528,-0.356415679730916,-0.344540546377677,47548.6,14390.8569,393794162.458974,23138.5,5911,5911,"OWNER",351003,"80_90","M",351003,86,14,"monthly issuance",930620,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,"1.42",1.71,135,6604,6295,38353.68,580101,NA,NA,0,-484,"monthly issuance","south Bohemia","M","0"
